City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
61,whitehorse,60.7161,-135.0538,278.58,86,75,5.66,CA,Mon Oct  2 10:49:31 2023
62,ushuaia,-54.8,-68.3,277.94,65,40,2.57,AR,Mon Oct  2 10:52:02 2023
63,grytviken,-54.2811,-36.5092,275.36,98,100,5.06,GS,Mon Oct  2 10:52:02 2023
64,boulsa,12.6675,-0.5758,308.17,38,78,3.46,BF,Mon Oct  2 10:52:02 2023
65,adamstown,-25.066,-130.1015,293.14,77,21,10.63,PN,Mon Oct  2 10:52:02 2023
66,hawaiian paradise park,19.5933,-154.9731,295.39,95,40,2.06,US,Mon Oct  2 10:52:02 2023
67,yellowknife,62.456,-114.3525,277.82,100,75,1.54,CA,Mon Oct  2 10:52:02 2023
68,illapel,-31.6308,-71.1653,289.5,59,100,3.06,CL,Mon Oct  2 10:52:02 2023
69,lihue,21.9789,-159.3672,295.73,88,40,0.0,US,Mon Oct  2 10:52:02 2023
70,huarmey,-10.0681,-78.1522,294.42,78,30,4.17,PE,Mon Oct  2 10:52:02 2023
71,lompoc,34.6391,-120.4579,285.7,88,75,1.54,US,Mon Oct  2 10:47:32 2023
72,lebu,-37.6167,-73.65,284.83,77,83,3.19,CL,Mon Oct  2 10:52:03 2023
73,inarajan village,13.2736,144.7484,301.69,93,32,5.1,GU,Mon Oct  2 10:52:03 2023
74,urganch,41.55,60.6333,290.12,55,0,0.0,UZ,Mon Oct  2 10:52:03 2023
75,ribeira grande,38.5167,-28.7,295.37,56,20,5.14,PT,Mon Oct  2 10:52:03 2023
76,badger,64.8,-147.5333,274.25,93,100,2.57,US,Mon Oct  2 10:52:03 2023
77,quimili,-27.6333,-62.4167,303.03,23,0,6.95,AR,Mon Oct  2 10:49:20 2023
78,fale old settlement,-9.3852,-171.2468,300.73,78,60,2.51,TK,Mon Oct  2 10:52:03 2023
79,auki,-8.7676,160.7034,298.67,91,44,2.34,SB,Mon Oct  2 10:52:03 2023
80,avarua,-21.2078,-159.775,293.18,88,75,4.12,CK,Mon Oct  2 10:52:03 2023
81,aykhal,66.0,111.5,265.41,91,26,3.13,RU,Mon Oct  2 10:52:04 2023
82,alofi,-19.0595,-169.9187,295.09,64,75,7.72,NU,Mon Oct  2 10:52:04 2023
83,baiao,-2.7906,-49.6717,310.33,34,93,1.94,BR,Mon Oct  2 10:52:04 2023
84,linkoping,58.4109,15.6216,290.92,75,0,4.63,SE,Mon Oct  2 10:52:04 2023
85,port mathurin,-19.6833,63.4167,296.77,86,55,6.31,MU,Mon Oct  2 10:52:04 2023
86,sur,22.5667,59.5289,302.61,63,48,0.6,OM,Mon Oct  2 10:52:04 2023
87,phan rang-thap cham,11.5667,108.9833,298.25,92,99,1.61,VN,Mon Oct  2 10:52:04 2023
88,papao,-17.75,-149.55,296.97,83,40,9.21,PF,Mon Oct  2 10:52:04 2023
89,bonito,-21.1211,-56.4819,310.85,28,22,4.14,BR,Mon Oct  2 10:52:05 2023
90,uacu cungo,-11.3634,15.1208,303.67,31,75,2.52,AO,Mon Oct  2 10:52:05 2023
91,port lincoln,-34.7333,135.8667,286.98,74,68,6.49,AU,Mon Oct  2 10:52:05 2023
92,broken hill,-31.95,141.4333,300.81,21,100,11.01,AU,Mon Oct  2 10:52:05 2023
